model=tg num_threads=24 num_rounds=3 
     |V|+|E|     Runtime
           2    0.200667
         842    0.774667
        3284     1.92167
        7288       2.151
       12901     2.61767
       19971     3.73167
       28665     5.53167
       38965       6.901
       50883       8.082
       64328      10.279
       79309        12.6
       95905     14.8457
      114149     17.2213
      133872      20.402
      155194     23.8767
      178136     27.4833
      202617     31.5803
      228515     35.2243
      256237     38.0667
      285412      42.338
      316350     47.4043
      348854     51.4117
      382918      56.324
      418273     61.2427
      455565     67.1473
      494147     72.7257
      534455     78.1147
      576406     84.2557
      619802      90.632
      664771     96.9237
      711200     103.669
